frame_number,landmark,x,y,z
5,LEFT_EYE_OUTER,0.3786,0.2381,-0.3797
5,RIGHT_EYE_INNER,0.3574,0.2345,-0.376
5,RIGHT_EYE,0.3545,0.2345,-0.376
5,RIGHT_EYE_OUTER,0.3517,0.2346,-0.376
5,LEFT_EAR,0.3868,0.2468,-0.2569
5,RIGHT_EAR,0.3546,0.2418,-0.2411
5,MOUTH_LEFT,0.3672,0.2654,-0.3478
5,MOUTH_RIGHT,0.3526,0.2625,-0.3431
5,LEFT_SHOULDER,0.4275,0.3481,-0.1685
5,RIGHT_SHOULDER,0.3157,0.3407,-0.1283
5,LEFT_ELBOW,0.4475,0.4724,-0.1008
5,RIGHT_ELBOW,0.2944,0.4596,-0.0564
5,LEFT_WRIST,0.4529,0.583,-0.1956
5,RIGHT_WRIST,0.2784,0.5576,-0.161
5,LEFT_PINKY,0.454,0.6118,-0.2255
5,RIGHT_PINKY,0.2726,0.5902,-0.1916
5,LEFT_INDEX,0.4446,0.6103,-0.2662
5,RIGHT_INDEX,0.2781,0.5886,-0.2351
5,LEFT_THUMB,0.4417,0.5999,-0.2123
5,RIGHT_THUMB,0.2829,0.577,-0.1808
5,LEFT_HIP,0.4015,0.5762,-0.0098
5,RIGHT_HIP,0.3329,0.5726,0.0097
5,LEFT_KNEE,0.3954,0.7459,0.0173
5,RIGHT_KNEE,0.3325,0.7435,0.0269
5,LEFT_ANKLE,0.3913,0.8922,0.234
5,RIGHT_ANKLE,0.3311,0.8916,0.2343
5,LEFT_HEEL,0.3851,0.9077,0.245
5,RIGHT_HEEL,0.3389,0.9102,0.2446
5,LEFT_FOOT_INDEX,0.3912,0.9548,0.0901
5,RIGHT_FOOT_INDEX,0.3131,0.9554,0.0922
6,NOSE,0.3588,0.2493,-0.3939
6,LEFT_EYE_INNER,0.369,0.2379,-0.3772
6,LEFT_EYE,0.3739,0.2387,-0.3772
6,LEFT_EYE_OUTER,0.3785,0.2392,-0.3772
6,RIGHT_EYE_INNER,0.3574,0.2369,-0.3753
6,RIGHT_EYE,0.3544,0.237,-0.3754
6,RIGHT_EYE_OUTER,0.3515,0.237,-0.3754
6,LEFT_EAR,0.3868,0.247,-0.2523
6,RIGHT_EAR,0.3538,0.2428,-0.2401
6,MOUTH_LEFT,0.3673,0.2672,-0.3442
6,MOUTH_RIGHT,0.3527,0.265,-0.3416
6,LEFT_SHOULDER,0.4275,0.3479,-0.165
6,RIGHT_SHOULDER,0.3155,0.3399,-0.1258
6,LEFT_ELBOW,0.4475,0.4716,-0.1011
6,RIGHT_ELBOW,0.2943,0.4587,-0.0504
6,LEFT_WRIST,0.4529,0.5827,-0.1969
6,RIGHT_WRIST,0.2784,0.5557,-0.155
6,LEFT_PINKY,0.454,0.6114,-0.2264
